,Category,processed_text,prediction
2443,AVIATION,desktop support engin profil dedic system center administr desktop support engin nine plu year provid effect manag support process administ implement global chang manag forti citi domest citi intern effect priorit goal perform short deadlin increas product without sacrif qualiti profici day day administr system center configur manag r sccm provid technic support staff custom respond follow intern extern custom support problem core qualif window imag deploy via sccm r window window server r patch manag applic deploy task sequenc develop profession experi desktop support engin august current compani name citi state develop manag maintain north highland pc imag build test manag inventori pc platform specif util system center configur manag r sccm critic requir softwar patch manag window window server util sccm r oper system deploy osd applic creation within sccm r work directli custom order ensur qualiti solut deliv issu identifi escal resolv proactiv manner review optim workflow procedur process system call center ticket report remot access tool administ manag exchang mailbox distribut list assist migrat troubleshoot microsoft offic coordin provid evalu proper escal process applic network issu advanc knowledg repair softwar requir dell lenovo devic design softwar instal configur thousand comput system global troubleshoot hardwar softwar desktop six depart domest three intern perform upgrad oper system simultan log track resolv matter pertain network connect printer softwar applic malfunct monitor track commun progress assign incid closur creat updat troubl ticket requir standard procedur respons manag maintain monitor datacent server network lan wan respons also includ limit provid nd rd level support intern extern user involv network server problem identif resolut proactiv respons alarm reactiv respons troubl call coordin repair activ intern extern agenc possess critic think effect troubleshoot skill abil quickli accur determin sourc problem identifi possibl solut select appropri solut implement solut time manner inform technolog technician januari januari compani name state disassembl troubleshot repair follow pc hardwar motherboard processor hard drive floppi drive cd drive power suppli ide cabl sata cabl fan nic video card sound card memori keyboard mous monitor speaker upgrad comput new oper system window configur comput imag futur deploy util window deploy servic wd configur server new oper system window server hard drive devic configur email internet connect end user creat user activ directori aviat ordin supervisor januari januari compani name state supervis navi personnel buildup storag movement navi ammunit inspect maintain repair aircraft mechan electr armament ordnanc system supervis oper aviat ordnanc shop armori stowag facil manag account system rework airborn weapon system equip convent weapon qualif certif program afloat ashor perform requisit receiv inspect store issu ammunit made report excess shortag damag conduct inventori reconcil post discrep prepar maintain ammunit transact report transact item report requir inspect complianc direct applic notic ammunit reclassif coordin expedit flow work materi within depart establish accord product schedul duti includ review distribut product work shipment schedul confer depart supervisor determin progress work complet date compil report progress work inventori level cost product problem supervis inventori account navi asset educ bachelor comput scienc network secur ecpi univers citi state network secur certif microsoft cerifi profesion skill account system activ directori cabl cd chang manag hardwar critic think client custom servic custom support dell desktop email hard drive ide internet connect inventori lan manag materi mechan memori access exchang exchang server microsoft offic window window migrat weapon monitor motherboard navi network network nic oper system pc hardwar personnel power suppli printer process progress qualiti report router server sound card switch technic support troubleshoot upgrad video card wan workflow,AVIATION
408,TEACHER,assist teacher summari teacher aid lovingli taught children age month thorough guid children varieti daili activ make sure curriculum age appropri fun depend reliabl work other shift make work highlight chart recordkeep child abus prevent understand development disord activ listen first aid certif basic cleric knowledg reliabl punctual friendli cheer energet teamwork orient housekeep experi assist teacher novemb octob compani name citi state assist teachersanit toy play area daili maintain safe clean constantli supervis play environ support children emot social develop one one attent prepar serv clean daili meal children use read aloud time alphabet game promot earli literaci use clear commun profession develop construct relationship famili clearli commun children development appropri way care supervis children play area instruct children health person habit includ eat rest toilet habit cashier hostess salad bar person novemb januari compani name citi state accept payment custom made chang necessari assist diner seat need assist co worker clean prepar variou food cook serv clean bar work area tabl clean maintain beverag area display case equip order transact area clean spill food drink broken dish remov empti bottl trash greet custom restaur drive thru took rang order handl payment thank custom perform serv clean stock duti establish prepar coffe base beverag request serv prepar pastri food item use food handl standard wash peel cut seed fruit veget compil maintain record food use expenditur prepar buffet salad bar dinner servic continu kept carpet floor clear debri receiv frequent custom compliment go beyond normal duti cashier hostess salad bar person juli septemb compani name citi state accept payment custom made chang necessari assist co worker assist diner seat need clean maintain beverag area display case equip order transact area clean prepar variou food cook serv clean bar work area tabl clean spill food drink broken dish remov empti bottl trash greet custom restaur drive thru took rang order handl payment thank custom greet guest sat tabl wait area kept drink station clean readi servic prepar coffe base beverag request serv prepar pastri food item prepar food item sandwich salad soup beverag stock suppli serv station cupboard refriger salad bar store clean equip utensil use food handl standard wash peel cut seed fruit veget commun custom regard order comment complaint compil maintain record food use expenditur provid custom product detail coffe blend prepar descript prepar buffet salad bar dinner servic continu kept carpet floor clear debri maintain profession tone time includ peak rush hour receiv frequent custom compliment go beyond normal duti owner receptionist sale april decemb compani name citi state manag receptionist area includ greet visitor respond telephon person request inform maintain front desk recept area neat organ fashion made copi sent fax handl incom outgo correspond issu paycheck vendor supplier bi weekli basi handl cash deposit use proper account procedur document year offic experi address neg custom feedback immedi kept record room avail guest account manual use comput kept record room avail guest account manual use comput monitor daili bank transact work quickli effici minim oversight accomplish assign duti recommend help custom select merchandis base need exchang return merchandis custom quickli effici open close store includ count cash open close cash regist creat staff assign demonstr custom come first serv sens urgenc maintain friendli profession custom interact work team member provid highest level servic custom educ associ scienc comput inform scienc everest univers onlin citi state us recipi zenith grant social work univers north dakota citi state got credit finish liber alot class social work busi northland commun technic colleg citi state took alot class offic assist liber skill peopl skill enthusiast peopl person problem solv organiz skill,TEACHER
1720,ENGINEERING,engin associ profil team orient engin associ year experi design develop maintain test electro mechan system skill electro mechan design jmp microsoft visual basic microsoft excel vision system program microsoft power point electron comput system microsoft visio engin softwar six sigma x methodolog strong present skill adapt process improv electr troubleshoot tool team player abil read schemat mechan design implement abil write read wire diagram accomplish bronz medal skill usa robot autom statist analysi perform data collect statist analysi result sound recommend adopt depart product improv work r lob modifi improv overal product perform elimin machin defect recommend machin adjust test evalu analysi test equip ensur complianc analyz data provid recommend result adopt new cost save equip autocad softwar util help produc draw maintain archiv retriev cad file draw document complet four commerci project present creat present idexx technic review board product chang improv produc train power point train field support project manag lead leadership roll multipl x project multipl instrument platform lead multipl product chang obsolesc product manag intern supplier effort product defect resolut keep tight project road map includ schedual statu updat project custom interfac meet custom help reliev custom dissatisfact gain knowledg product use field help provid system reliabl perform perform site servay reguard electr compent new product develop lead product support engin full x ray product line design develop sourc elitevison protect cover profession experi engin associ current compani name citi state start instrument tech manufactur floor respons build servic catalyst dx work stand technic lead month move catalyst pilot line respons lab mainten instrument softwar test valid new compon extend instrument field fail triag fall start work engin digit radiographi depart respons product reliabl product improv npd qualif includ write test protocol test execut report find respons includ esd implement test lab mainten manag work supplier custom regular basi work larg cross function group daili consid hardwar subject matter expert cr dr instrument idexx familiar softwar system integr opportun design multipl compon test fixtur electr test box metal inspect jug composit protect cover addit respons obsolesc valid test addit train new person equip file servic system includ softwar mechan electr ac dc troubleshoot posit overse work technician intern work assist variou project electr technician mechanist compani name citi state resolv part assembl discrep collabor engin project manag regard design paramet client project design bracket custom frame work autom machin prepar accur specif purchas materi equip purchas depart debug troubleshot complex analog digit rf circuit work troubleshoot programm logic control plc assembl line maintain product autom machineri custom site assembl complex electr circuit ac dc compani name citi state work multipl depart provid qualiti care patient maintain medic record work famili provid qualiti care educ train associ appli scienc smcc south citi state us studi smcc toward degre appli scienc field electron draft design yccc well us studi cad draft engin design program current work yccc usm industri manag consider electro mechan system mechan engin mechan engin person inform idexx laboratori westbrook us skill cad hardwar client dc draft electron engin engin design frame function inspect logic machineri materi mechan mechan design microsoft excel microsoft power point microsoft visio plc present skill process improv product improv program project manag protocol purchas qualiti radiographi read report schedul schemat six sigma softwar test system integr team player triag troubleshoot valid vision microsoft visual basic wire diagram addit inform idexx laboratori westbrook us week long train six sigma x technic problem solv methodolog gd tech ese portland us geometr dimens toler week long train high school sanford high school sanford us graduat honor electron sanford region vocat center sanford us graduat vocat electron program member nation technic honor societi,ENGINEERING
1294,DIGITAL-MEDIA,media servic coordin summari life long san antonio resid dedic technic skill profession divers background strong peopl skill team player highli organ excel collabor commun skill abil multi task adapt well chang excel resolv employ challeng innov solut system process improv proven increas effici custom satisfact bottom line highlight profici microsoft offic applic quick book pro googl tool app educ type wpm key touch accuraci html css basic php adob creativ cloud techsmith relay camtasia snag web research skill web tool video web confer skill mass deploy configur io devic skill clear understand project cost excel custom servic skill strong analyt collabor commun written organiz multi task skill accomplish led develop inventori control metric system decreas number issu electron classroom develop metric system technolog issu experi media servic coordin current compani name citi state respons account financi function ap ar pr gl bank reconcili month end close prepar financi report track travel purchas department suppli upkeep offic equip assist director budget plan base asset track depreci capit equip respons track number expens account construct project suppli expens grant one time initi budget respons review process contractor draw time manner ensur servic suppli render purchas av classroom technolog equip monitor troubleshoot av technolog classroom issu tier ii level dispatch technician need respons upkeep helpdesk ticket system assist director audio visual classroom technolog design project manag variou special project well provid technic support video confer webinar variou multi media servic assist manag technolog newli design commiss classroom deploy tablet touch control similar multi media equip serv lynda com campu administr prepar monthli statist report vp cito director coordin av equip deliveri set up tu commun event visit group event respons hire manag even supervisor well student worker process payrol time manner approv vacat sick leav coordin staff schedul train lead social media journalist clt coordin department tour new student faculti orient respons upkeep av inventori demonstr av equip checkout upkeep printer provid technic train support printer credit manag bill coordin compani name citi state respons account receiv month end close duti respons group bill account gener k revenu custom invoic respons credit card transact handl disput respons aspect direct bill credit refer collect citi ledger account conduct monthli credit committe meet prepar monthli write report assist control assist control develop implement financi offic polici work close sale cater manag ensur client bill request met respons implement manag new technolog troubl shoot common account issu develop compani name citi state offic manag leas manag offic manag leas manag properti manag firm respons account financi function ap ar pr gl bank reconcili month end close assist project manag construct newli develop properti monitor jobsit procur materi receiv wareh function ensur materi purchas accord project technic specif manag subcontractor administr review execut contractor draw chang order overse administr system oper offic includ interview hire manag staff implement manag new technolog prepar review trust power attorney leas titl commit miscellan mortgag loan real estat legal document monitor maintain employe personnel file includ payrol maintain good custom relationship tenant coordin properti tour commerci residenti properti first point contact handl tenant inquir complaint respons rent roll pay vacat notic leas renew rent increas notic market rate analysi heavi calendar schedul event meet coordin travel arrang owner educ associ appli scienc digit media northwest vista colleg present northwest vista colleg associ appli scienc concentr digit media present intern program present assist intern student variou skill payrol deposit obtain social secur card obtain campu employ etc skill account reconcili close procedur ap ar bank reconcili gl payrol project manag public relat properti manag schedul travel arrang budget correspond bill credit credit card reconcili chang order interview leas offic manag helpdesk ticket system report inventori process payrol purchas technic support train custom servic excel custom servic skill highli organ microsoft offic ms offic quick book pro receptionist team player type organ,DIGITAL-MEDIA
614,BUSINESS-DEVELOPMENT,director busi develop profession summari extens experi ltac market hospit set abil build strong rapport physician patient famili case manag health care commun manag lead team clinic admiss market liaison effici commun patient need clinic staff expert plan execut market strategi build relationship new territori increas referr sourc track record consist growth censu hospit demonstr strong profession relationship referr sourc turn potenti referr admiss self driven innov strong desir compet ltach increas hospit censu high recommend lead physician base perform work ethic highlight excel interperson commun skill abil keep profession confid public speaker highli motiv market patient care orient increas secur walk tour patient famili cater need cultur awar sensit toward patient physician train physician nurs evalu patient chart make recommend ltac base diagnos proven abil manag market team yield result strateg develop market plan track record financi manag effici use budget organ network event compani function annual gala effect influenc team member show motiv drive perform understand explain continuum care model patient famili clinic knowledg identifi ltac patient proper diagnos treatment experi director busi develop compani name citi state manag lead exampl team qualifi market clinic liaison show steadi increas censu market presenc accomplish open door new acut care hospit respons new ltac admiss month instanc angleton danburi medic center brazosport region medic center univers gener hospit memori hermann medic center brought board sever new physician special need long term acut care patient result higher referr acut care hospit certain physician increas total number admiss record rate admiss discharg beyond day stay ltac highest censu date sinc open establish continu streak day design process system new referr cut process time referr hour hour less referr turn day admiss design print new improv ltach evalu statu sheet patient chart commun statu referr case manag physician effici follow constantli admiss staff phone design upload new compani websit enabl patient virtual tour sign consent view direct hospit web addit much visibl pleas compar older websit offer detail inform privat health care insur accept hospit explain servic offer hospit includ continuum care model design rent full size cb billboard one year sugar land hwi hwi intersect increas market presenc commun cater special need patient famili request order secur admiss instanc halal kosher meal allow one famili member stay patient durat stay etc initi tradit annual compani gala doctor activ contribut hospit referr recogn present award gift also soon becam sought event case manag social worker attend one kind even guest entertain danc live sing perform five cours dinner open bar award atrium medic center certif recognit outstand perform januari educ bachelor scienc interdisciplinari studi univers houston downtown citi state unit state interdisciplinari studi cours entail differ area studi provid well round educ appli mani career coursework includ commun psycholog econom human minor polit scienc associ art gener studi houston commun colleg system citi state unit state houston commun colleg system honor gpa member phi theta kappa gener studi galveston colleg citi state unit state galveston colleg dean list extraordinari academ perform photograph articl featur galveston counti newspap excel athlet perform surf cours earn colleg credit languag english hindi india urdu pakistan refer abdul hannan khan md pulmonologist intern medicin year experi dr nave umer farooq md infecti diseas year experi dr suleman lalani md intern medicin year experi dr sarfaraz ali md intern medicin infecti diseas medicin year experi tana heali mba rn ccm director case manag west houston medic center edna takahashi rn icu case manag west houston medic center afsha dawwa rn case manag methodist hospit medic center rachael wheaton lvn tombal nurs rehab center note pleas use alia jj verif client west houston medic center methodist sugar land hospit st luke hospit sugar land memori hermann southwest hospit angleton danburi medic center brazosport region health system skill network health care patient evalu medicar structur sale market person commun extens knowledg oper manag,BUSINESS-DEVELOPMENT
2019,CONSTRUCTION,licens contractor summari detail orient special residenti commerci construct sale profession develop experi year expertis facet construct industri verifi track record success complet multi million dollar project consist high rise locat la vega chicago downtown area coordin trade develop partnership build posit rapport architect engin local offici vendor client maintain cost well vers contract negoti project budget impend design issu document prepar build code regul materi procur site manag certif occup area expertis includ leadership team build qualiti control manag permit build code workplac safeti complianc construct plan schedul organ time manag critic path project manag vendor materi manag budget analysi estim job cost highlight knowledg experi work paint experi variou hand power tool heavi equip skid steer loader meg roller forklift experi work high rise deep tunnel bridg roof porch concret wood drywal trim work window cabinet hardwood floor ceram vinyl acoust ceil train track hous foundat dock water main sidewalk plumb hvac electr softwar ms offic profici concret estim superb manag skill project budget cost control experi licens contractor januari februari compani name citi state led plan budget direct construct project manag project painter carpent labor electrician plumber hvac instal respons runoff order materi manag time payrol plu employe analyz interpret blueprint project insur qualiti work qualifi competit subcontractor bid prior execut contract care coordin plan spec use market program standard facilit process rfi submitt sampl among gener contractor consult manag right way easement dedic process educ gener contractor personnel qualiti standard throughout construct process manag team onsit gener contractor year obtain notic complet complianc certif construct administr consult review investig propos chang order request pcor stay consist project schedul plan ffe instal submit project closeout document accord contract assign project task employe base compet specialti follow compet execut project plan provid proper tool equip construct personnel perform construct site pre inspect coordin post construct audit monitor safeti construct activ make site personnel safeti top prioriti foreman januari januari compani name citi state interfac variou contractor owner regulatori advoc determin appropri project handl manag plu employe experi understand intern busi strategi develop work knowledg industri practic analyz interpret new p relat guidelin inquir led manag resolut issu project construct commiss phase act liaison compani safeti repres promot awar understand safeti protocol profici use incid issu track iit system document onsit issu properli maintain onsit equip vehicl foreman januari januari compani name citi state work surveyor engin site layout place order project maintain stock level manag plu employe prepar maintain report regard day day oper abil build strong work relationship intern extern assist project manag bid new job project manag team site gener contractor assign project task employe base compet specialti accur provid statu inform project progress project manag carpent foreman januari januari compani name citi state work surveyor manag safeti environ blueprint read maintain stock level effect manag divers crew time payrol educ engin chicago state univers citi state usa high school diploma leesvil h citi state skill year construct industri fast learner commit team player strong consist meet exceed busi perform goal abil work independ osha certifi,CONSTRUCTION
416,TEACHER,kimberli fish summari dedic respons special educ teacher proven skill classroom manag behavior modif individu support comfort work student skill level promot learn boost educ success serv role model use growth mindset develop young mind inspir love learn experi substitut teacher current compani name citi state enforc classroom routin keep student schedul oper consist level implement lesson plan assign classroom teacher educ student key concept maintain student attend assign record prevent laps teacher absenc oversaw pop quizz materi exam standard test facilit instruct appli proactiv behavior manag techniqu facilit classroom disciplin provid note report school day activ primari teacher long term special educ substitut compani name citi state elimin learn gap effect instruct student use teach aid motiv strategi facilit function life skill develop student autism explicit instruct repetit entrench skill establish commun clear object lesson unit project student foster posit trust relationship student increas engag organ prepar instruct materi communiqu report facilit student learn work student special need accomplish task build practic skill collabor convent educ instructor across multipl depart optim student learn develop interest interact learn method tailor help student individu need transit student across grade level care plan prepar encourag student empathi other build confid improv self imag enforc classroom routin keep student schedul oper consist level implement lesson plan assign classroom teacher educ student key concept maintain student attend assign record prevent laps teacher absenc mentor tutor instruct student break student support oversaw pop quizz materi exam standard test facilit instruct liais teacher develop cohes educ plan improv student support assist fellow teacher assign special project test administr updat grade need taught student fundament build block advanc concept assign homework student base curricula modifi base daili progress use googl classroom organ lesson plan long term interim assign studi scienc world histori better understand content assist project assign kept detail record student progress attend assign googl classroom ari engag student discuss promot interest drive learn built strengthen posit relationship student parent teach staff promot learn leverag tradit modern instruct strategi leverag divers instruct strategi hand activ engag student boost understand materi substitut teacher compani name citi state implement lesson plan assign classroom teacher educ student key concept maintain student attend assign record prevent laps teacher absenc enforc classroom routin keep student schedul oper consist level use blackboard powerschool organ lesson plan long term interim assign help student build learn studi skill achiev life long educ goal provid note report school day activ primari teacher leverag divers instruct strategi hand activ engag student boost understand materi mentor tutor instruct student school plan time kept detail record student progress attend assign powerschool sei promot learn leverag tradit modern instruct strategi report problem student princip maintain control classroom assign homework student base curricula modifi base daili progress appli proactiv behavior manag techniqu facilit classroom disciplin differenti classroom small group instruct meet need student variou learn style abil built strengthen posit relationship student parent teach staff oversaw pop quizz materi exam standard test facilit instruct assist fellow teacher assign special project test administr updat grade need liais teacher develop cohes educ plan improv student support elimin learn gap effect instruct student use teach aid motiv strategi develop iep leverag development practic educ theori achiev educ object particip week long intens leadership train provid train colleagu appli behavior analysi wrote present document individu educ plan confer establish commun clear object lesson unit project student parent foster posit trust relationship student increas engag organ prepar instruct materi communiqu report facilit student learn deliv special classroom instruct student development disord work student special need accomplish task build practic skill collabor convent educ instructor across multipl depart optim student learn promot languag develop skill read storytel develop interest interact learn method tailor help student individu need transit student across grade level care plan prepar develop individu educ plan design promot educ physic social develop implement special test evalu literaci perform encourag student empathi other build confid improv self imag supervis field trip local park fire station zoo develop social skill commun awar conduct small group individu classroom activ student base differenti learn need educ train associ art liber art gener studi fullerton colleg citi state bachelor scienc child adolesc studi california state univers fullerton citi state gpa member phi beta delta member educ specialist teach credenti special educ california state univers fullerton citi honor societi intern scholar member activ honor pta honorari servic award award benton middl school ptsa fuh danc booster club secretari fuh danc booster club presid fuh danc booster club member larg fuh choir booster club member larg fuh theatr booster club member larg fuh ptsa member skill behavior model video conferenc smartboard technolog profici googl classroom ari activ plan complianc technolog savvi proctor individu care quizz test exam classroom disciplin effect listen tutor school help interdisciplinari teach effect work parent cpr first aid certifi behavior cognit skill develop team collabor posit student engag behavior modif special need student mediat advocaci talent,TEACHER
846,FITNESS,manag profession summari experienc manag excel client project manag skill action orient strong abil commun effect technolog execut busi audienc experi compani name may current manag citi state new member enrol new member servic drive overal sale exceed gym goal perform merchandis task stock merchandis display new merchandis coordin overal supervis train retail staff ensur sale perform goal met hire train develop club staff goal growth success posit within compani perform duti rang front desk babysit class instruct whenev necessari charg digit media function facebook instagram twitter compani name novemb may manag citi state overse person train depart sell conduct introductori certifi person train session ensur trainer team member consist punctual dress code complianc custom servic focu respons success attain compani target includ revenu client retent compani name januari novemb person trainer citi state teach client proper exercis form use current techniqu avail provid client motiv need stay focus feel great creat program design ensur client adher fit program attend gym regularli maxim total gym experi optimum result compani name januari januari person trainer small group instructor citi state deliv person train session well teach high qualiti group fit class drive person train busi growth elev member experi activ engag member fit floor enhanc fit journey conduct fit orient drive person train revenu overal account ensur fit equip maintain fit floor meet exce oper excel standard compani name januari januari qualiti assur specialist citi state senior qualiti assur specialist sterl infosystem inc supervis correct order enter order creation specialist order maintain qualiti control assist employe perform train person manag order account high profil client assur rigid requir client need compani polici adher order creation specialist intern extern offic locat compani name januari januari verif specialist citi state determin appropri document necessari varieti background check includ regul variou govern agenc confirm forward proper parti assess order sure relat materi associ correct order computer file system provid addit support order enter data receiv comput system request addit inform relat parti correct error department report compani name januari januari custom servic associ citi state provid servic patron assist shop experi handl varieti differ check transact custom time accur manner respond custom need ensur situat promptli resolv account cash regist fund includ prepar deposit assist gener store mainten stock level appropri educ hofstra bachelor art exercis scienc citi state usa nassau commun colleg psycholog busi citi state usa attend colleg field psycholog busi manag order promot expertis aspect custom servic manag overal certif american heart associ cpr a certifi american council exercis certifi person trainer american council exercis certifi lifestyl weight manag coach american council exercis certifi health coach intern fit profession associ certifi tai chi chi kung instructor box fit institut certifi box fit trainer box fit institut certifi advanc box fit trainer profession affili volunt class instructor peninsula counsel center present volunt person trainer person train institut volunt server new york militari academi volunt server u militari academi west point skill excel work knowledg comput hardwar technolog gener profici microsoft window offic applic,FITNESS
684,HEALTHCARE,healthcar consult summari certifi spin instructor person trainer energi skill train necessari keep client motiv move toward fit goal highlight certifi spin instructor ace certifi person trainer cpr first aid certifi energi motiv drive push motiv particip microsoft offic team build person friendli dedic respons accomplish success build particip struggl low particip class recent built class averag particip class start around within six month experi healthcar consult octob current compani name citi state network develop new medicar advantag snp northeast identifi contract provid establish network meet cm time distanc standard subject matter expert studi medicar advantag best practic provid engag cycl instructor septemb compani name citi state provid high energi safe indoor cycl experi particip lead motiv push particip prepar new routin new music weekli ensur particip get bore uninspir incorpor variou type format class tabata hiit interv resist train speed work provid group engag manag septemb octob compani name citi state respons establish maintain overse variou mso engag provid relationship oversaw direct mso partner activ intern implement order ensur success launch gate referr base provid network atlanta market initi provid ongo support financi perform data variou strateg relationship includ mso pcp practic acquisit direct provid engag agreement clinic develop coordin provid detail analysi report train educ larg engag provid group order promot improv clinic qualiti code financi perform success facilit implement variou initi provid group around hedi star etc serv contact provid risk group question regard financi settlement deleg claim adjud fund manag direct staff provid network consult lead direct committe respons improv employe engag within southeast region region director septemb april compani name citi state network servic southeastern region respons manag direct contract provid relat activ within southeast identifi execut strategi network develop improv manag direct region contract provid relat staff provid depth knowledg southeastern region particip strateg plan manag oversaw complex contract negoti identifi new area expans conduct depth market financi analys maintain posit relationship provid facilit prompt resolut contractu issu manag manag care januari januari compani name citi state respons negoti mainten major manag care contract well manag wellstar credenti depart negoti favor contract languag rate meet busi target object georgia largest integr healthcar system consist five hospit ancillari servic affili physician increas profit three key payor contract system maintain contractu relationship facilit resolut problem aris contract manag allcredenti depart activ staff implement process procedur shorten enrol process govern payor cut enrol time averag day success obtain deleg credenti contract payor result deleg averag day shorter load time payor consist averag deleg payor audit score continu implement develop strategi improv drive employe satisfact gallup survey indic increas employe satisfact two year manag care depart develop implement improv best practic credenti depart order align system goal implement lean think techniqu credenti depart streamlin process facilit transpar led better overal satisfact depart provid reimburs specialist januari januari compani name citi state respons implement qualiti assur variou provid contract success blue cross blue shield ga comput system assist system wide initi manag intern reimburs relat activ multi million dollar monthli capit payment process includ analysi implement report capit data collect analyz provid contract data comput system data ensur time accur reimburs implement perform qualiti assur measur reimburs implement identifi recommend system modif advanc provid contract strategi best practic manag multipl reimburs project determin busi intent estim commun implement timet paramet distribut project result final document serv capit subject matter expert develop wellpoint enterpris data model senior analyst januari januari compani name citi state respons implement variou provid contract success blue cross blue shield ga comput system develop distribut profession fee schedul base medicar rate produc ad hoc report analys manag reimburs data provid databas content present project result recommend manag project team creat project document report distribut throughout organ load contract pathway contract manag system provid leadership train depart ten health system analyst januari januari compani name citi state respons implement variou provid contract success blue cross blue shield ga comput system implement prefer reimburs methodolog physician facil ancillari manag multipl project collabor team achiev result report specialist januari januari compani name citi state respons report qualiti data client servic repres januari januari compani name citi state respons assist client author insur question educ master busi administr bachelor scienc busi administr manag health servic administr kennesaw state univers citi state usa bachelor scienc health servic administr auburn univers citi state usa skill acquisit cm content contract negoti contract contract manag client databas direct document estim financi govern insur leadership train manag market negoti enterpris network process code qualiti qualiti assur report strateg strateg plan,HEALTHCARE
1113,CONSULTANT,consult profession summari high achiev manag profession effect consult possess excel commun organiz analyt capabl year experi devis innov strategi solut resolv complex busi challeng adept manag project vendor analyz organiz oper perform custom journey competitor gap analysi high achiev manag profession effect consult excel commun organiz analyt capabl year experi devis innov strategi solut resolv complex busi challeng adept manag project vendor analyz organiz oper perform custom journey competitor gap analysi skill strategi oper process optim digit transform cross function team manag project product manag agil lean methodolog work histori consult compani name citi state current american global comput secur softwar fortun compani manag deliv project implement integr new content manag platform creat unifi brand experi support scalabl growth enhanc digit presenc client busi post acquisit led cross function global team consist technic busi function repres achiev key mileston time qualiti deliver priorit escal resolv issu intern extern stakehold directli manag rd parti vendor offshor team client american consum food product servic compani provid recommend around user center design ada complianc e commerc implement project perform digit convers analysi use googl analyt tool perform user accept test provid recommend around usabl function design gener process flow diagram knowledg transfer project closur phase emin firm develop contribut extens experi work senior manag stakehold develop client propos rfp work partner enhanc deloitt digit new market offer busi develop effort product strategi intern compani name citi led practicum team carnegi mellon univers understand ibm bluemix paa cloud base solut use busi framework perform market competitor custom journey analysi liais cross function team assess opportun marketplac determin synergi align busi unit goal corpor strategi work senior manag stakehold develop strategi enhanc awar increas convers explor new market opportun scale client user base assist oper manag compani name citi busi strategi vendor manag autom hub typic model replic report chief oper offic recommend compani wide autom strategi vendor select conduct gap analysi market research competitor financi analysi propos short mid long term strategi execut team project manag rfid project member core project manag team respons coordin cross function team achiev project mileston focus process improv optim enhanc team product defin key perform indic evalu vendor academ project compani name softwar product strategi conceptu launch onlin e commerc store develop product strategi roadmap produc engin financi market plan commerci ip develop go market strategi product roadmap propos busi model launch cmu automat speech recognit technolog present sand hill angel investor softwar requir interact design design work prototyp first respond use human center user design approach human comput interact design appl watch prototyp porsch custom access contextu interview creat persona gener scenario stori board surviv social network chip perform object orient analysi design along estim plan develop measur track softwar project use hybrid develop approach educ master scienc softwar manag carnegi mellon univers recipi softwar manag fellowship academ excel carnegi mellon univers select chief oper offic consult autom strategi product offer master scienc softwar manag carnegi mellon univers recipi softwar manag fellowship academ excel carnegi mellon univers gpa mba intern busi institut technolog manag distinct first class gpa mba intern busi intern busi institut technolog manag india gpa skill net academ ada adob appl approach autom busi develop busi process busi strategi consult content manag convers client data analysi e commerc senior manag financi financi analysi function googl analyt govern hub ibm intern busi invest ip market plan market research market strategi market market mba c excel microsoft offic suit power point word network object orient analysi design optim polici process improv project manag propos qualiti requir research rfp scrum sdlc speech ms sql strategi strategi develop vendor manag vendor manag visio websit busi skill busi strategi product strategi consult data analysi gap analysi custom journey analysi competitor analysi market research requir gather product manag vendor manag tool balsamiq alm octan agil manag trello version one microsoft offic suit visio methodolog agil kanban lean human center design design think,CONSULTANT
